"Time (ms)","Ankle 1","Ankle 2","2008 hip"
"0","153.2642","62.02552","-0.07854405"
"33","178.9682","52.27841","-1.449255"
"67","190.7473","59.45146","-2.302921"
"100","182.5743","83.7897","-3.030626"
"133","156.2525","110.9818","-4.152839"
"167","118.6182","130.8291","-5.532789"
"200","80.47554","147.1128","-6.360381"
"234","53.87166","166.1111","-5.727952"
"267","46.34809","183.9987","-3.884834"
"300","57.04746","191.1307","-2.586176"
"334","78.76667","181.3173","-3.477248"
"367","103.8543","152.7943","-6.337131"
"400","128.4276","110.0602","-9.30817"
"434","151.6011","67.68425","-10.78616"
"467","171.5044","42.58751","-10.77611"
"500","183.4374","41.8463","-10.53379"
"534","181.9311","60.85425","-11.34694"
"567","162.8133","88.59136","-13.4793"
"601","126.4137","114.1155","-15.97178"
"634","82.22916","133.4548","-17.58773"
"667","45.6349","150.6594","-17.63908"
"701","27.9169","168.7253","-16.04551"
"734","32.11197","182.3203","-13.54482"
"767","54.46551","181.6241","-11.62241"
"801","85.32245","159.5761","-11.56899"
"834","113.1533","117.8856","-13.53382"
"868","133.4099","69.96098","-16.38771"
"901","150.2356","33.76779","-18.90695"
"934","165.9121","20.73555",
"968","174.2303","32.58478","-21.13937"
"1001","166.9753","61.66883","-23.76731"
"1034","141.3159","93.24168","-26.62436"
"1068","101.243","116.1918","-28.75547"
"1101","57.85978","131.6695","-29.23686"
"1134","26.44051","146.7954","-27.8177"
"1168","17.69462","163.3984","-25.49337"
"1201","31.52954","175.1364","-23.85627"
"1235","58.92974","170.9732","-23.48209"
"1268","88.82603","142.0986","-23.69663"
"1301","114.9002","92.88403","-23.61823"
"1335","136.634","43.31035","-22.70543"
"1368","153.9861","14.19425","-20.97195"
"1401","163.4737","12.98001","-19.39679"
"1435","159.9193","34.09262","-19.52545"
"1468","139.1264","65.44817","-21.78912"
"1502","101.1065","94.05266","-24.58563"
"1535","55.36735","113.0711","-25.67334"
"1568","18.3993","126.4693","-24.00802"
"1602","1.913543","141.4193","-20.24472"
"1635","7.307022","155.8847","-16.25705"
"1668","29.40981","158.9807","-13.96317"
"1702","59.66585","141.9914","-13.92613"
"1735","88.25611","106.5168","-14.97292"
"1768","109.3045","64.22777","-15.35012"
"1802","124.2371","29.34966","-14.2193"
"1835","136.8119","11.30373","-12.04613"
"1869","146.2944","13.6068","-10.23473"
"1902","147.4445","33.75367","-10.53183"
"1935","134.6899","61.88678","-13.73365"
"1969","106.4928","85.88768","-18.62191"
"2002","68.90382","100.9271","-22.67378"
"2035","34.39643","111.0038","-24.06708"
"2069","14.09391","120.9474","-23.01616"
"2102","11.20354","130.3498","-21.21725"
"2135","22.4904","134.7362","-20.45438"
"2169","42.21167","128.7502","-21.68047"
"2202","63.5593","109.3292","-24.5199"
"2236","81.44413","80.00311","-27.46167"
"2269","95.71555","51.26828","-29.02539"
"2302","108.3373","33.44751","-29.02243"
"2336","118.0196","29.78528","-28.91965"
"2369","120.9024","36.40805","-30.81013"
"2402","114.2842","45.8842","-35.30208"
"2436","97.38955","52.306","-40.54054"
"2469","72.21223","56.20307","-44.08802"
"2502","45.32355","63.16126","-45.17226"
"2536","25.12123","76.55067","-44.45771"
"2569","15.57476","93.23412","-42.96104"
"2603","14.41862","105.9286","-41.95979"
"2636","17.06907","107.4888","-42.53344"
"2669",,"94.41818","-44.26826"
"2703",,"70.45306","-45.30684"
"2736",,,"-44.35648"
"2769",,,"-42.0737"
"2803",,,"-40.02599"
"2836",,,"-38.784"
