"Time (ms)","Ankle 1","Ankle 2"
"0","40.23466","138.3382"
"33","32.67623","153.8839"
"67","40.24681","159.992"
"100","64.35627","152.3118"
"133","93.28297","130.9919"
"167","115.1233","99.63091"
"200","128.5637","66.76958"
"234","139.7863","43.05008"
"267","151.4644","34.89274"
"300","159.2253","43.03677"
"334","157.1851","63.55647"
"367","142.1396","88.01069"
"400","114.223","108.0479"
"434","79.31193","122.3509"
"467","49.13472","135.3007"
"500","34.68656","148.302"
"534","40.5453","156.5329"
"567","63.2826","153.9396"
"601","91.99786","137.5751"
"634","114.8352","108.8459"
"667","128.4262","74.86558"
"701","138.1673","46.93327"
"734","148.4972","34.32239"
"767","156.5127","39.83757"
"801","155.713","59.9121"
"834","141.5965","85.95853"
"868","113.7277","108.3196"
"901","77.85207","123.1906"
"934","45.7112","134.0972"
"968","28.96049","144.5593"
"1001","33.10659","152.2707"
"1034","55.6874","151.7562"
"1068","86.68784","138.9906"
"1101","113.2642","113.4933"
"1134","129.2615","80.47639"
"1168","138.6602","50.26704"
"1201","147.1203","32.4824"
"1235","153.8926","31.74512"
"1268","154.09","47.63415"
"1301","143.7425","74.14773"
"1335","121.0126","100.9013"
"1368","88.30519","120.2189"
"1401","54.79487","132.9769"
"1435","32.55373","144.3284"
"1468","29.27616","154.8067"
"1502","45.30012","159.2091"
"1535","74.03912","152.0795"
"1568","103.9243","130.9133"
"1602","124.9907","98.23605"
"1635","136.285","63.20115"
"1668","143.3602","36.92188"
"1702","149.0094","26.35328"
"1735","153.6031","36.33739"
"1768","162.0941","71.90337"
"1802","177.8718","128.3366"
