A1,A1
139.48,68.99
53.66,20.51
-11.76,-36.55
-58.22,-86.73
-87.17,-114.03
-100.04,-110.92
-99.3,-84.94
-82.27,-53.97
-50.95,-31.87
-10.03,-13.82
32.74,17
68.29,61.49
88.69,96.77
88.7,100.31
66.92,70.03
27.34,19.86
-20.49,-34.38
-64.3,-80.58
-93.98,-107.91
-104.67,-107.88
-95.88,-83.46
-69.61,-52.83
-30.37,-32.87
19.56,-19.72
58.95,4.23
79.52,43.93
77.82,81.92
54.55,96.15
14.44,78.8
-33.61,36.7
-77.74,-16.4
-106.31,-65.59
-111.1,-99.21
-89.14,-110.77
-55.76,-99.26
-13.4,-72.55
29.75,-46.35
64.38,-29.06
82.84,-10.47
80.84,22.91
57.98,64.8
18.91,93.34
-26.81,92.13
-67.97,59.84
-95.75,9.03
-106.11,-41.89
-99.49,-84.87
